name,subcategory,price,price_numeric,rating,reviews,image_url,category,source,product_link,availability,specifications,timestamp,id
Apple iPhone 15 (128 GB) - Blue,,"51,990",51990.0,4.5 out of 5 stars,,https://m.media-amazon.com/images/I/71d7rfSl0wL._AC_UY218_.jpg,Electronics,Amazon.in,,In Stock,"{'storage': '128 GB', 'os': 'iOS', 'color': 'Blue'}",2025-11-04T08:57:13.622759,Amazon.in_0
Apple iPhone 15 (128 GB) - Black,,"51,990",51990.0,4.5 out of 5 stars,,https://m.media-amazon.com/images/I/71657TiFeHL._AC_UY218_.jpg,Electronics,Amazon.in,,In Stock,"{'storage': '128 GB', 'os': 'iOS', 'color': 'Black'}",2025-11-04T08:57:13.622813,Amazon.in_1
Apple iPhone 15 (128 GB) - Blue,,"51,990",51990.0,4.5 out of 5 stars,,https://m.media-amazon.com/images/I/71d7rfSl0wL._AC_UY218_.jpg,Electronics,Amazon.in,,In Stock,"{'storage': '128 GB', 'os': 'iOS', 'color': 'Blue'}",2025-11-04T08:57:13.622822,Amazon.in_2
Apple iPhone 15 (128 GB) - Pink,,"51,990",51990.0,4.5 out of 5 stars,,https://m.media-amazon.com/images/I/71v2jVh6nIL._AC_UY218_.jpg,Electronics,Amazon.in,,In Stock,"{'storage': '128 GB', 'os': 'iOS', 'color': 'Pink'}",2025-11-04T08:57:13.622828,Amazon.in_3
"Apple iPhone 15 (Blue, 128 GB)",,"₹59,900",59900.0,,,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/k/l/l/-original-imagtc5fz9spysyk.jpeg?q=70,Electronics,Flipkart,https://www.flipkart.comhttps://www.flipkart.com/apple-iphone-15-blue-128-gb/p/itmbf14ef54f645d?pid=MOBGTAGPAQNVFZZY&lid=LSTMOBGTAGPAQNVFZZYCQQXYH&marketplace=FLIPKART&q=iphone+15&store=tyy%2F4io&srno=s_1_1&otracker=search&fm=organic&iid=7cd66b24-14d4-492c-b610-8e6f0c5c221d.MOBGTAGPAQNVFZZY.SEARCH&ppt=None&ppn=None&ssid=288popbbdc0000001762226811213&qH=2f54b45b321e3ae5,In Stock,"{'storage': '128 GB', 'os': 'iOS', 'color': 'Blue'}",2025-11-04T08:57:13.622833,Flipkart_4
"Apple iPhone 15 (Blue, 256 GB)",,"₹69,900",69900.0,,,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/k/l/l/-original-imagtc5fz9spysyk.jpeg?q=70,Electronics,Flipkart,https://www.flipkart.comhttps://www.flipkart.com/apple-iphone-15-blue-256-gb/p/itm986f66c53cae4?pid=MOBGTAGPNEZZY2YR&lid=LSTMOBGTAGPNEZZY2YR3VRTJK&marketplace=FLIPKART&q=iphone+15&store=tyy%2F4io&srno=s_1_2&otracker=search&fm=organic&iid=7cd66b24-14d4-492c-b610-8e6f0c5c221d.MOBGTAGPNEZZY2YR.SEARCH&ppt=None&ppn=None&ssid=288popbbdc0000001762226811213&qH=2f54b45b321e3ae5,In Stock,"{'storage': '256 GB', 'os': 'iOS', 'color': 'Blue'}",2025-11-04T08:57:13.622838,Flipkart_5
"Apple iPhone 15 (Black, 128 GB)",,"₹59,900",59900.0,,,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/h/d/9/-original-imagtc2qzgnnuhxh.jpeg?q=70,Electronics,Flipkart,https://www.flipkart.comhttps://www.flipkart.com/apple-iphone-15-black-128-gb/p/itm6ac6485515ae4?pid=MOBGTAGPTB3VS24W&lid=LSTMOBGTAGPTB3VS24WCTBCFM&marketplace=FLIPKART&q=iphone+15&store=tyy%2F4io&srno=s_1_3&otracker=search&fm=organic&iid=7cd66b24-14d4-492c-b610-8e6f0c5c221d.MOBGTAGPTB3VS24W.SEARCH&ppt=None&ppn=None&ssid=288popbbdc0000001762226811213&qH=2f54b45b321e3ae5,In Stock,"{'storage': '128 GB', 'os': 'iOS', 'color': 'Black'}",2025-11-04T08:57:13.622843,Flipkart_6
"Apple iPhone 15 (Black, 256 GB)",,"₹69,900",69900.0,,,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/h/d/9/-original-imagtc2qzgnnuhxh.jpeg?q=70,Electronics,Flipkart,https://www.flipkart.comhttps://www.flipkart.com/apple-iphone-15-black-256-gb/p/itm6f0727e3e3b52?pid=MOBGTAGPSMHFKHT5&lid=LSTMOBGTAGPSMHFKHT5QSQH4U&marketplace=FLIPKART&q=iphone+15&store=tyy%2F4io&srno=s_1_4&otracker=search&fm=organic&iid=7cd66b24-14d4-492c-b610-8e6f0c5c221d.MOBGTAGPSMHFKHT5.SEARCH&ppt=None&ppn=None&ssid=288popbbdc0000001762226811213&qH=2f54b45b321e3ae5,In Stock,"{'storage': '256 GB', 'os': 'iOS', 'color': 'Black'}",2025-11-04T08:57:13.622848,Flipkart_7
"Apple iPhone 15 (Green, 128 GB)",,"₹59,900",59900.0,,,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/j/z/3/-original-imagtc5fqyz8tu4c.jpeg?q=70,Electronics,Flipkart,https://www.flipkart.comhttps://www.flipkart.com/apple-iphone-15-green-128-gb/p/itm235cd318bde73?pid=MOBGTAGPYYWZRUJX&lid=LSTMOBGTAGPYYWZRUJX8CTXDU&marketplace=FLIPKART&q=iphone+15&store=tyy%2F4io&srno=s_1_5&otracker=search&fm=organic&iid=7cd66b24-14d4-492c-b610-8e6f0c5c221d.MOBGTAGPYYWZRUJX.SEARCH&ppt=None&ppn=None&ssid=288popbbdc0000001762226811213&qH=2f54b45b321e3ae5,In Stock,"{'storage': '128 GB', 'os': 'iOS', 'color': 'Green'}",2025-11-04T08:57:13.622853,Flipkart_8
"Apple iPhone 15 (Pink, 256 GB)",,"₹69,900",69900.0,,,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/a/c/k/-original-imagtc5fuzkvczr7.jpeg?q=70,Electronics,Flipkart,https://www.flipkart.comhttps://www.flipkart.com/apple-iphone-15-pink-256-gb/p/itmd205d11e1959e?pid=MOBGTAGPFDXBQ9BH&lid=LSTMOBGTAGPFDXBQ9BHA8SIFB&marketplace=FLIPKART&q=iphone+15&store=tyy%2F4io&srno=s_1_6&otracker=search&fm=organic&iid=7cd66b24-14d4-492c-b610-8e6f0c5c221d.MOBGTAGPFDXBQ9BH.SEARCH&ppt=None&ppn=None&ssid=288popbbdc0000001762226811213&qH=2f54b45b321e3ae5,In Stock,"{'storage': '256 GB', 'os': 'iOS', 'color': 'Pink'}",2025-11-04T08:57:13.622857,Flipkart_9
"Apple iPhone 15 (Pink, 128 GB)",,"₹59,900",59900.0,,,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/a/c/k/-original-imagtc5fuzkvczr7.jpeg?q=70,Electronics,Flipkart,https://www.flipkart.comhttps://www.flipkart.com/apple-iphone-15-pink-128-gb/p/itm7579ed94ca647?pid=MOBGTAGPNMZA5PU5&lid=LSTMOBGTAGPNMZA5PU5AVZNIR&marketplace=FLIPKART&q=iphone+15&store=tyy%2F4io&srno=s_1_7&otracker=search&fm=organic&iid=7cd66b24-14d4-492c-b610-8e6f0c5c221d.MOBGTAGPNMZA5PU5.SEARCH&ppt=None&ppn=None&ssid=288popbbdc0000001762226811213&qH=2f54b45b321e3ae5,In Stock,"{'storage': '128 GB', 'os': 'iOS', 'color': 'Pink'}",2025-11-04T08:57:13.622881,Flipkart_10
"Apple iPhone 15 (Blue, 512 GB)",,"₹89,900",89900.0,,,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/k/l/l/-original-imagtc5fz9spysyk.jpeg?q=70,Electronics,Flipkart,https://www.flipkart.comhttps://www.flipkart.com/apple-iphone-15-blue-512-gb/p/itmbd86e796dea27?pid=MOBGTAGPQMKPVK7Q&lid=LSTMOBGTAGPQMKPVK7QIE80OX&marketplace=FLIPKART&q=iphone+15&store=tyy%2F4io&srno=s_1_8&otracker=search&fm=organic&iid=7cd66b24-14d4-492c-b610-8e6f0c5c221d.MOBGTAGPQMKPVK7Q.SEARCH&ppt=None&ppn=None&ssid=288popbbdc0000001762226811213&qH=2f54b45b321e3ae5,In Stock,"{'storage': '512 GB', 'os': 'iOS', 'color': 'Blue'}",2025-11-04T08:57:13.622886,Flipkart_11
"Apple iPhone 15 (Black, 512 GB)",,"₹89,900",89900.0,,,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/h/d/9/-original-imagtc2qzgnnuhxh.jpeg?q=70,Electronics,Flipkart,https://www.flipkart.comhttps://www.flipkart.com/apple-iphone-15-black-512-gb/p/itm232a6b488abe2?pid=MOBGTAGPEXNGM7BM&lid=LSTMOBGTAGPEXNGM7BMOE3LR2&marketplace=FLIPKART&q=iphone+15&store=tyy%2F4io&srno=s_1_9&otracker=search&fm=organic&iid=7cd66b24-14d4-492c-b610-8e6f0c5c221d.MOBGTAGPEXNGM7BM.SEARCH&ppt=None&ppn=None&ssid=288popbbdc0000001762226811213&qH=2f54b45b321e3ae5,In Stock,"{'storage': '512 GB', 'os': 'iOS', 'color': 'Black'}",2025-11-04T08:57:13.622891,Flipkart_12
"Apple iPhone 15 (Yellow, 128 GB)",,"₹59,900",59900.0,,,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/f/l/g/-original-imagtc5frtz9j7tb.jpeg?q=70,Electronics,Flipkart,https://www.flipkart.comhttps://www.flipkart.com/apple-iphone-15-yellow-128-gb/p/itm825e4ad0b80ca?pid=MOBGTAGPDTKHHHZU&lid=LSTMOBGTAGPDTKHHHZUTQZRMS&marketplace=FLIPKART&q=iphone+15&store=tyy%2F4io&srno=s_1_10&otracker=search&fm=organic&iid=7cd66b24-14d4-492c-b610-8e6f0c5c221d.MOBGTAGPDTKHHHZU.SEARCH&ppt=None&ppn=None&ssid=288popbbdc0000001762226811213&qH=2f54b45b321e3ae5,In Stock,"{'storage': '128 GB', 'os': 'iOS'}",2025-11-04T08:57:13.622896,Flipkart_13
